class,nodes,distance
1,49726629,3500.235
1,304923820,3383.783
1,3453732481,2358.197
1,3453732486,2222.509
1,49091279,1379.547
1,49071853,3209.506
1,49071854,3246.604
1,49260649,2059.834
1,49260653,1960.619
1,49260656,1859.114
1,49260661,1557.982
1,49260663,1458.776
1,6042797991,3157.064
1,6042797994,3463.035
1,49268650,2311.236
1,49260668,1300.295
1,49268654,2091.5
1,49268662,399.262
1,49268663,378.029
1,49268673,429.053
1,49268683,813.395
1,49260678,3097.755
1,49260679,3014.533
1,49260681,2961.77
1,49260683,2888.076
1,49260685,2792.293
1,49260686,2467.09
1,49260694,2330.419
1,49203351,1646.704
1,49203367,3242.401
1,49203376,3043.326
1,49203384,2955.716
1,49203400,2604.025
1,49203413,2297.547
1,49203423,2122.653
1,49203425,2064.934
1,49203427,1929.602
1,49203428,1863.851
1,49203430,1761.996
1,49203432,1708.623
1,49203434,1656.205
1,304728677,3589.07
1,304728704,3509.168
1,304728774,3293.998
1,49269505,2495.361
1,304728997,3226.401
1,49335446,2740.522
1,49335450,2575.219
1,49728720,3351.242
1,49466679,3113.478
1,49270113,3319.279
1,49270119,3383.007
1,49270124,3477.787
1,49270128,3560.502
1,49270130,3578.755
1,49401262,3219.998
1,49401270,3099.12
1,49401276,3054.34
1,49401278,3090.48
1,49205189,2373.135
1,1715720325,2801.726
1,1715720327,2843.363
1,1715720329,2917.613
1,1715720346,3542.907
1,49074384,2649.634
1,49074429,2518.364
1,49074430,2619.732
1,1715720448,3520.82
1,1715720457,3218.409
1,1715720465,2987.704
1,1715720468,2904.448
1,1715720472,2826.51
1,1715720474,2783.925
1,1715720512,3128.51
1,1715720515,3185.331
1,1715720528,2811.914
1,1715720529,2812.057
1,49467800,3576.582
1,49336844,3526.475
1,49336846,3318.612
1,49336853,3263.255
1,5895869043,3577.042
1,5895869044,3585.821
1,5895869050,3589.521
1,49664700,2799.978
1,400527825,2547.307
1,49010191,2247.435
1,49076138,3277.296
1,49076145,2945.957
1,49076148,2754.931
1,49076154,2511.331
1,49076156,2371.403
1,49076163,1910.78
1,49092168,2433.174
1,49092170,2061.193
1,49092171,1851.14
1,49092172,1758.484
1,49092173,2020.701
1,49092174,2212.027
1,49207473,2628.313
1,49207474,2546.295
1,49207477,2400.688
1,1336335105,2243.874
1,1715723567,3291.642
1,1715723574,3059.413
1,49077849,2856.25
1,49077851,2668.312
1,49143962,2643.014
1,49537495,2760.96
1,49078746,2969.038
1,49078748,2874.006
1,49078752,3039.706
1,49537509,2462.024
1,49379298,1418.156
1,49144649,3575.767
1,49144653,3531.161
1,49144675,3357.459
1,49144676,3309.955
1,49144679,3312.795
1,49144683,3324.745
1,49144684,3225.63
1,49144686,3196.786
1,49144688,3157.591
1,49668994,3002.164
1,49668998,3242.825
1,49144773,2991.932
1,49144775,3066.623
1,49144779,3213.628
1,49144785,3407.36
1,296870971,3361.514
1,49407201,3325.355
1,49079524,3510.169
1,49407203,3276.071
1,49079531,3134.144
1,49079532,3063.905
1,49407213,3361.79
1,49669359,2125.663
1,49407216,2619.41
1,49079538,2944.783
1,49079545,2805.162
1,49407232,2275.972
1,49079554,2178.768
1,49079555,1975.365
1,49079556,1748.517
1,49407237,2126.014
1,49079558,1656.464
1,49079560,1919.152
1,49407239,2145.494
1,49407241,2072.362
1,49407243,1902.648
1,49079567,2036.652
1,296871192,3349.224
1,49407308,1849.243
1,49407330,2326.582
1,296871475,3487.966
1,49014367,2044.014
1,49276569,3301.031
1,49276585,3411.662
1,49277208,1952.19
1,49277209,2056.792
1,49277210,2139.117
1,49277218,1815.791
1,49080625,3373.469
1,49080634,3534.187
1,3384339080,1932.371
1,412347047,3065.918
1,296872655,3001.397
1,49146660,1387.106
1,49146670,1807.555
1,49146671,1887.501
1,49146679,2004.986
1,48884607,2748.198
1,49474546,2666.679
1,49474565,2843.474
1,49474590,3117.416
1,49081801,2150.145
1,49081802,2011.048
1,504753673,2439.757
1,4341493369,3083.768
1,4341493370,3067.454
1,4341493371,3055.655
1,4341493376,2975.454
1,4341493386,3465.123
1,4341493388,3582.585
1,3322212648,2744.284
1,49082877,2724.555
1,49082880,2632.264
1,49082881,2546.809
1,49082882,2434.529
1,49410702,2380.233
1,3474125486,1269.043
1,3474125487,1377.259
1,49607385,3466.475
1,3639604156,3422.304
1,3639604163,3313.41
1,49607874,2793.789
1,49280432,2101.661
1,49280455,2227.279
1,49280583,2769.439
1,49673829,3220.295
1,49281044,2672.704
1,49150476,570.377
1,49216129,1841.65
1,49216132,1627.699
1,49347408,3493.382
1,49675089,2738.718
1,49216491,3429.33
1,49216506,3074.803
1,49216512,2964.129
1,49216516,2893.757
1,49216523,2680.285
1,49216533,2589.879
1,49216535,2512.172
1,49216553,2580.488
1,49085534,2402.967
1,5717097821,2209.951
1,5898567008,1476.147
1,5898567009,1153.66
1,6177488269,2308.085
1,49348353,1329.777
2,49217567,2665.942
2,49217573,2428.326
2,49217577,2344.055
2,49217580,2274.56
2,49479756,2344.632
2,49479760,2442.663
2,49676487,2432.293
2,48890105,3192.463
2,48890106,3198.167
2,48890113,2471.902
2,48890114,2457.113
2,48890115,2474.481
2,48890121,3159.489
2,48890122,3189.513
2,49086761,2860.759
2,49086763,2738.183
2,49086764,2680.009
2,49086766,2624.533
2,49086767,2449.601
2,49086768,2491.658
2,49086769,2597.139
2,49086770,2704.019
2,49152398,3156.882
2,49152413,3508.547
2,49480392,3213.142
2,49480394,2929.714
2,49480400,2785.3
2,49480405,2414.01
2,49480411,2618.629
2,49480424,2799.722
2,49480427,2830.469
2,49480477,3265.377
2,49152813,3455.438
2,49152817,3558.129
2,1376387982,3201.106
2,1376387989,3126.086
2,1376387992,3481.666
2,1376387995,3465.93
2,49152953,3169.005
2,49152955,3269.647
2,49152957,3370.279
2,49152959,3470.911
2,49480733,3425.823
2,49284392,3597.885
2,49546560,2563.935
2,49087852,3412.292
2,49087853,3358.14
2,49087857,3151.335
2,49087861,2995.612
2,49087865,3210.845
2,49153523,3467.527
2,49153545,3475.176
2,49153550,3360.462
2,49153606,3492.256
2,49284704,2396.141
2,49284705,2460.962
2,49350250,2631.097
2,49350276,2316.969
2,49350279,2278.486
2,49350291,1997.346
2,49022802,3467.253
2,49219469,3451.806
2,49219471,3558.666
2,49219472,3591.357
2,49219481,2708.767
2,49219483,2639.282
2,49219484,2534.527
2,49219487,2579.256
2,49219489,2684.551
2,49219495,2693.803
2,49219498,2903.053
2,276760531,2624.561
2,49088634,1863.802
2,49088645,2119.68
2,49088649,2237.557
2,49088650,2333.419
2,49088652,2398.543
2,49088661,2615.254
2,49088662,2687.17
2,49088669,2786.01
2,276760823,2434.156
2,2480539911,2001.316
2,2480539920,2013.364
2,1355680099,1870.621
2,422447921,3457.582
2,49120825,1632.068
2,49351608,3461.167
2,1199443130,3199.378
2,1199443131,3423.371
2,1199443135,3321.446
2,1199443137,3503.565
